iter	Passed	Remaining
1337	105577	12782
1338	105631	12700
1339	105696	12620
1340	105756	12539
1341	105831	12460
1342	105921	12382
1343	105992	12302
1344	106040	12220
1345	106096	12138
1346	106161	12058
1347	106232	11978
1348	106369	11906
1349	106467	11829
1350	106510	11746
1351	106558	11664
1352	106639	11586
1353	106751	11510
1354	106819	11430
1355	106894	11351
1356	106956	11271
1357	107031	11191
1358	107114	11113
1359	107158	11030
1360	107199	10948
1361	107282	10870
1362	107342	10789
1363	107388	10707
1364	107466	10628
1365	107527	10548
1366	107597	10468
1367	107646	10386
1368	107746	10310
1369	107835	10232
1370	107912	10153
1371	107966	10072
1372	108041	9993
1373	108136	9916
1374	108189	9835
1375	108252	9755
1376	108328	9676
1377	108374	9594
1378	108443	9515
1379	108501	9434
1380	108557	9354
1381	108621	9274
1382	108703	9196
1383	108778	9117
1384	108843	9037
1385	108894	8956
1386	108975	8878
1387	109051	8799
1388	109111	8719
1389	109195	8641
1390	109287	8563
1391	109382	8486
1392	109451	8407
1393	109496	8326
1394	109557	8246
1395	109628	8167
1396	109700	8088
1397	109754	8007
1398	109822	7928
1399	109862	7847
1400	109945	7769
1401	110016	7690
1402	110061	7609
1403	110121	7529
1404	110205	7451
1405	110291	7373
1406	110349	7293
1407	110420	7215
1408	110484	7135
1409	110552	7056
1410	110612	6977
1411	110671	6897
1412	110745	6818
1413	110812	6739
1414	110885	6660
1415	110939	6581
1416	111019	6502
1417	111079	6423
1418	111126	6343
1419	111173	6263
1420	111253	6185
1421	111331	6106
1422	111396	6027
1423	111466	5949
1424	111556	5871
1425	111614	5792
1426	111695	5713
1427	111767	5635
1428	111817	5555
1429	111904	5477
1430	112075	5404
1431	112129	5324
1432	112177	5244
1433	112220	5164
1434	112299	5086
1435	112355	5007
1436	112410	4928
1437	112453	4848
1438	112522	4769
1439	112576	4690
1440	112634	4611
1441	112690	4532
1442	112774	4454
1443	112838	4375
1444	112905	4297
1445	112963	4218
1446	113018	4139
1447	113040	4059
1448	113110	3981
1449	113177	3902
1450	113266	3824
1451	113307	3745
1452	113359	3666
1453	113501	3590
1454	113547	3511
1455	113618	3433
1456	113735	3356
1457	113782	3277
1458	114003	3203
1459	114063	3125
1460	114175	3047
1461	114250	2969
1462	114343	2891
1463	114398	2813
1464	114463	2734
1465	114549	2656
1466	114611	2578
1467	114667	2499
1468	114744	2421
1469	114825	2343
1470	114884	2264
1471	114953	2186
1472	115040	2108
1473	115095	2030
1474	115165	1951
1475	115216	1873
1476	115269	1794
1477	115337	1716
1478	115377	1638
1479	115472	1560
1480	115563	1482
1481	115630	1404
1482	115694	1326
1483	115746	1247
1484	115831	1170
1485	115901	1091
1486	115959	1013
1487	116018	935
1488	116090	857
1489	116141	779
1490	116210	701
1491	116263	623
1492	116341	545
1493	116461	467
1494	116505	389
1495	116561	311
1496	116693	233
1497	116758	155
1498	116813	77
1499	116875	0
